Financing scheme,Function,Provider,Measure,Country,Year,Value
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Malta,2015,8.898
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Malta,2016,8.966
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Malta,2017,8.731
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Malta,2018,8.567
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Malta,2019,9.148
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Malta,2020,10.747
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Bulgaria,2015,7.391
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Bulgaria,2016,7.457
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Bulgaria,2017,7.492
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Bulgaria,2018,7.329
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Bulgaria,2019,7.089
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Bulgaria,2020,8.478
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Bulgaria,2021,8.556
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2015,9.283
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2016,9.244
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2017,8.97
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2018,9.038
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2019,9.069
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2020,9.689
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2021,10.125
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,New Zealand,2022,11.208
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Croatia,2015,6.69
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Croatia,2016,6.725
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Croatia,2017,6.657
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Croatia,2018,6.75
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Croatia,2019,6.802
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Croatia,2020,7.729
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Croatia,2021,8.102
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Argentina,2015,10.229
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Argentina,2016,9.002
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Argentina,2017,10.442
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Argentina,2018,9.534
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Argentina,2019,9.355
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Argentina,2020,9.984
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Brazil,2015,8.909
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Brazil,2016,9.169
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Brazil,2017,9.471
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Brazil,2018,9.465
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Brazil,2019,9.614
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Brazil,2020,10.12
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,China (People's Republic of),2015,4.961
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,China (People's Republic of),2016,4.977
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,China (People's Republic of),2017,5.047
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,China (People's Republic of),2018,5.148
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,China (People's Republic of),2019,5.373
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,China (People's Republic of),2020,5.66
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,India,2015,3.596
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,India,2016,3.504
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,India,2017,2.936
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,India,2018,2.86
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,India,2019,2.904
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,India,2020,2.955
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Indonesia,2015,2.924
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Indonesia,2016,3.021
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Indonesia,2017,2.904
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Indonesia,2018,2.868
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Indonesia,2019,2.905
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Indonesia,2020,3.413
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Peru,2015,4.961
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Peru,2016,4.96
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Peru,2017,4.881
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Peru,2018,5.16
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Peru,2019,5.179
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Peru,2020,6.286
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Romania,2015,4.943
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Romania,2016,5.08
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Romania,2017,5.189
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Romania,2018,5.518
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Romania,2019,5.714
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Romania,2020,6.226
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,Romania,2021,6.479
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,South Africa,2015,8.053
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,South Africa,2016,8.08
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,South Africa,2017,7.977
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,South Africa,2018,8.077
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,South Africa,2019,8.23
All financing schemes,Current expenditure on health (all functions),All providers,Share of gross domestic product,South Africa,2020,8.528
